시작,시작위도,시작경도,끝,끝위도,끝경도,,,,,,,,,,,,,,,,,,,,
대곡역,35.809497,128.512584,한우아파트,35.808497,128.508288,,,,,,,,,,,,,,,,,,,,
한우아파트,35.808497,128.508288,"화원,옥포Ic네거리",35.792054,128.476102,,,,,,,,,,,,,,,,,,,,
화원옥포Ic네거리,35.792054,128.476102,88올림픽고속도로,35.789497,128.465483,,,,,,,,,,,,,,,,,,,,
성산,35.900736,128.445124,하빈면사무소,35.900931,128.445486,,,,,,,,,,,,,,,,,,,,
에코폴리스아이워시,35.867206,128.492055,하늘소망교회,35.879211,128.497538,,,,,,,,,,,,,,,,,,,,
강창교,35.856492,128.467443,운곡빌딩,35.859158,128.465114,,,,,,,,,,,,,,,,,,,,
대실역2번출구,35.857348,128.465617,죽곡청아람푸르지오2단지앞,35.850808,128.465932,,,,,,,,,,,,,,,,,,,,
왕선초등학교,35.863212,128.465328,대실역,35.857348,128.465617,,,,,,,,,,,,,,,,,,,,
다사로삼거리,35.863777,128.458461,히빈면경계,35.880059,128.459996,,,,,,,,,,,,,,,,,,,,
성천로,35.804051,128.493176,화남파출소,35.798612,128.490058,,,,,,,,,,,,,,,,,,,,
화원119안전센터,35.798776,128.501651,대곡역그린빌,35.803841,128.511378,,,,,,,,,,,,,,,,,,,,
5번국도,35.803448,128.498254,영남맨션,35.805803,128.500678,,,,,,,,,,,,,,,,,,,,
울곰의원,35.805816,128.486922,사문진로지하차로,35.806758,128.490981,,,,,,,,,,,,,,,,,,,,
농산물집배송장,35.798839,128.487152,성화로,35.792912,128.477265,,,,,,,,,,,,,,,,,,,,
국빈식장,35.800349,128.482171,s-oiL우리주유소,35.797549,128.482849,,,,,,,,,,,,,,,,,,,,
화원중학교,35.798915,128.509677,상층도로,35.798449,128.508482,,,,,,,,,,,,,,,,,,,,
비슬로447길교차로,35.789592,128.466291,달성미진이지비아와이드명곡,35.795505,128.458868,,,,,,,,,,,,,,,,,,,,
푸른환경기계,35.794705,128.465081,오렌지도어몰딩,35.793444,128.465794,,,,,,,,,,,,,,,,,,,,
경일아파트,35.731339,128.439297,홍천빌딩,35.727668,128.439181,,,,,,,,,,,,,,,,,,,,
평화산업,35.738561,128.459601,꿈그린,35.730756,128.464184,,,,,,,,,,,,,,,,,,,,
상신브레이크기술연구소,35.731237,128.454171,한국델파이압축기공장,35.732245,128.453534,,,,,,,,,,,,,,,,,,,,
s-oiL현풍IC주유소,35.701791,128.439749,금성아파트,35.694239,128.449674,,,,,,,,,,,,,,,,,,,,
달성경찰서버스정류장,35.691125,128.444183,탑마트,35.693261,128.444937,,,,,,,,,,,,,,,,,,,,
한국생산기술연구원대경지역본부,35.687022,128.458656,휴양림길진입로,35.697908,128.475881,,,,,,,,,,,,,,,,,,,,
휴양림길,35.697216,128.493232,비슬로휴양림버스정류장,35.691067,128.510375,,,,,,,,,,,,,,,,,,,,
